ITMS_CD_NBR,STCK_KOR_NM,DMD_FRCS_START_DT,DMD_FRCS_END_DT,SBSC_START_DT,SBSC_CLSG_DT,PYM_DT,DRBC_DT,STCK_LSTN_DT,LWEN_SCDL_PBOF_AMT,TPPO_SCDL_PBOF_AMT,CNFM_PBOF_AMT,PBOF_STCK_CNT,SBSC_RVLR_RT,RPRS_SPIC_COM_NM,JOINT_SPIC_COM_NM,RBPE_COM_NM,FSS_RCIP_NBR,STCK_FACE_AMT,AISS_GNRL_STCK_CNT,AISS_PRTY_STCK_CNT,NMN_RRT_PROXY_INST_NM,DMD_FRCS_RVLR_RT,OBLG_DFPN_APLCT_RATE
151910,나노스,,,20120724,20120725,20120727,20120727,20120802,"6,000",0,"7,000","1,500,000",0,한화,,,,500,"5,816,920","750,000",,0,0
149940,모다정보통신,,,20120913,20120914,20120918,20120918,20120925,"7,000",0,"7,000","700,000",0,키움,,,,500,"4,208,000",0,,0,0
121850,코이즈,,,20120918,20120919,20120921,20120921,20120927,"6,500",0,"7,500","1,180,000",0,한국투자,,,,500,"4,976,166",0,,0,0
149950,아바텍,,,20121025,20121026,20121030,20121030,20121106,"5,100",0,"6,300","2,950,000",0,한국투자,,,,500,"13,050,000",0,,0,0
037560,씨제이헬로비전,,,20121031,20121101,20121105,20121105,20121109,"14,000",0,"16,000","18,892,418",0,HI증권,,,,"2,500","69,262,895","8,183,970",,0,0
141070,맥스로텍,,,20121107,20121108,20121112,20121112,20121116,"6,000",0,"7,000","1,000,000",0,미래에셋,,,,500,"4,714,280",0,,0,0
046970,우리로광통신,,,20121115,20121116,20121120,20121120,20121127,"9,000",0,"10,300","2,087,777",0,미래에셋,,,,500,"4,655,101",0,,0,0
013870,지엠비코리아,,,20121107,20121108,20121112,20121112,20121120,"7,600",0,"6,000","5,718,860",0,신한,,,,500,"16,600,000",0,,0,0
155650,와이엠씨,,,20121105,20121106,20121108,20121108,20121115,"5,100",0,"6,000","1,946,319",0,NH투자,,,,500,"7,785,274",0,,0,0
113810,디젠스,,,20121113,20121114,20121116,20121116,20121122,"1,800",0,"1,800","5,000,000",0,NH투자,,,,500,"13,250,000",0,,0,0
159910,씨에스엘쏠라,,,20121217,20121218,20121221,20121221,20121227,"10,000",0,"10,000","1,200,000",0,키움,,,,500,"6,874,763",0,,0,0
141020,포티스,,,20130117,20130118,20130122,20130122,20130129,"3,500",0,"3,900","1,244,500",0,하나금융투자,,,,500,"1,244,500",0,,0,0
123410,교보케이티비기업인수목적,,,20100818,20100819,20100823,20100823,20100827,"4,000",0,"4,000","6,250,000",0,"교보,KTB투자증권",,,,100,"534,000",0,,0,0
123550,대신증권 그로쓰알파 기업인수목적,,,20100812,20100813,20100817,20100817,20100824,"2,000",0,"2,000","10,000,000",0,대신,,,,"1,000","960,000",0,,0,0
123290,한국투자신성장1호 기업인수목적회사,,,20100816,20100817,20100819,20100819,20100824,"2,200",0,"2,200","10,500,000",0,한국투자,,,,200,"790,000",0,,0,0
103130,웅진에너지,,,20100621,20100622,20100624,20100624,20100630,"7,500",0,"9,500","15,880,000",0,대신,,,,500,"46,120,000",0,,0,0
108230,톱텍,,,20090903,20090904,20090909,20090909,20090915,"9,100",0,"10,400","2,000,000",0,현대차증권,,,,500,"3,600,000","400,000",,0,0
095700,제넥신,,,20090907,20090908,20090910,20090910,20090915,"22,000",0,"27,000","1,000,000",0,미래에셋,,,,500,"3,022,870","62,500",,0,0
109740,디에스케이,,,20090914,20090915,20090917,20090917,20090923,"4,000",0,"5,000","1,500,000",0,신한,,,,500,"4,500,000","500,000",,0,0
